T[K],T[C],HF[W/g],Cp[J/(gK)],Cp[J/(mo K)],lit-Cp[J/(molK),lit_Cp_(J/mol_K_DIVI,DIVI_B OTRO_SET,H
304.88,31.880,-0.29390,1.7670,184.03,,,,13188,
304.90,31.900,-0.29390,1.7670,184.03,,,,13191,
304.92,31.920,-0.29390,1.7670,184.03,,,,13195,
304.93,31.930,-0.29400,1.7670,184.03,,,,13197,
304.95,31.950,-0.29400,1.7670,184.03,,,,13200,
304.97,31.970,-0.29400,1.7670,184.03,,,,13204,
304.98,31.980,-0.29410,1.7670,184.03,,,,13206,
305.00,32.000,-0.29410,1.7670,184.03,193.48,,,13210,
305.01,32.010,-0.29410,1.7680,184.13,,,,13211,
305.03,32.030,-0.29410,1.7680,184.13,,,,13215,
305.05,32.050,-0.29420,1.7680,184.13,,,,13219,
305.06,32.060,-0.29420,1.7680,184.13,,,,13221,
305.08,32.080,-0.29430,1.7690,184.24,,,,13224,
305.10,32.100,-0.29430,1.7690,184.24,,,,13228,
305.12,32.120,-0.29430,1.7690,184.24,,,,13232,
305.13,32.130,-0.29430,1.7690,184.24,,,,13234,
305.15,32.150,-0.29430,1.7690,184.24,,,,13237,
305.16,32.160,-0.29440,1.7690,184.24,,,,13239,
305.18,32.180,-0.29440,1.7690,184.24,,,,13243,
305.20,32.200,-0.29440,1.7690,184.24,,,,13246,
305.21,32.210,-0.29440,1.7690,184.24,,,,13248,
305.23,32.230,-0.29440,1.7690,184.24,,,,13252,
305.25,32.250,-0.29450,1.7690,184.24,,,,13256,
305.26,32.260,-0.29450,1.7700,184.34,,,,13257,
305.28,32.280,-0.29450,1.7700,184.34,,,,13261,
305.30,32.300,-0.29460,1.7700,184.34,,,,13265,
305.31,32.310,-0.29460,1.7700,184.34,,,,13267,
305.33,32.330,-0.29460,1.7700,184.34,,,,13270,
305.35,32.350,-0.29460,1.7700,184.34,,,,13274,
305.36,32.360,-0.29470,1.7700,184.34,,,,13276,
305.38,32.380,-0.29470,1.7710,184.45,,,,13280,
305.40,32.400,-0.29470,1.7710,184.45,,,,13283,
305.41,32.410,-0.29470,1.7710,184.45,,,,13285,
305.43,32.430,-0.29480,1.7710,184.45,,,,13289,
305.45,32.450,-0.29480,1.7710,184.45,,,,13293,
305.46,32.460,-0.29480,1.7720,184.55,,,,13294,
305.48,32.480,-0.29480,1.7720,184.55,,,,13298,
305.50,32.500,-0.29490,1.7720,184.55,,,,13302,
305.51,32.510,-0.29490,1.7720,184.55,,,,13304,
305.53,32.530,-0.29500,1.7730,184.65,,,,13307,
305.55,32.550,-0.29500,1.7730,184.65,,,,13311,
305.56,32.560,-0.29500,1.7730,184.65,,,,13313,
305.58,32.580,-0.29510,1.7740,184.76,,,,13317,
305.60,32.600,-0.29510,1.7740,184.76,,,,13320,
305.61,32.610,-0.29510,1.7740,184.76,,,,13322,
305.63,32.630,-0.29510,1.7740,184.76,,,,13326,
305.65,32.650,-0.29520,1.7740,184.76,,,,13329,
305.66,32.660,-0.29520,1.7740,184.76,,,,13331,
305.68,32.680,-0.29520,1.7740,184.76,,,,13335,
305.70,32.700,-0.29520,1.7740,184.76,,,,13339,
305.71,32.710,-0.29520,1.7740,184.76,,,,13341,
305.73,32.730,-0.29530,1.7740,184.76,,,,13344,
305.75,32.750,-0.29530,1.7740,184.76,,,,13348,
305.76,32.760,-0.29530,1.7740,184.76,,,,13350,
305.78,32.780,-0.29530,1.7750,184.86,,,,13353,
305.80,32.800,-0.29540,1.7750,184.86,,,,13357,
305.81,32.810,-0.29540,1.7750,184.86,,,,13359,
305.83,32.830,-0.29540,1.7750,184.86,,,,13363,
305.85,32.850,-0.29550,1.7750,184.86,,,,13366,
305.86,32.860,-0.29550,1.7750,184.86,,,,13368,
305.88,32.880,-0.29550,1.7750,184.86,,,,13372,
305.90,32.900,-0.29560,1.7750,184.86,,,,13376,
305.91,32.910,-0.29560,1.7760,184.97,,,,13377,
305.93,32.930,-0.29570,1.7760,184.97,,,,13381,
305.95,32.950,-0.29570,1.7760,184.97,,,,13385,
305.96,32.960,-0.29570,1.7760,184.97,,,,13387,
305.98,32.980,-0.29580,1.7760,184.97,,,,13390,
306.00,33.000,-0.29580,1.7770,185.07,,,,13394,
306.01,33.010,-0.29580,1.7770,185.07,,,,13396,
306.03,33.030,-0.29580,1.7770,185.07,,,,13400,
306.05,33.050,-0.29580,1.7770,185.07,,,,13403,
306.06,33.060,-0.29590,1.7770,185.07,,,,13405,
306.08,33.080,-0.29590,1.7770,185.07,,,,13409,
306.10,33.100,-0.29590,1.7770,185.07,,,,13413,
306.11,33.110,-0.29590,1.7780,185.18,,,,13414,
306.13,33.130,-0.29590,1.7780,185.18,,,,13418,
306.15,33.150,-0.29600,1.7780,185.18,,,,13422,
306.16,33.160,-0.29600,1.7780,185.18,,,,13424,
306.18,33.180,-0.29600,1.7780,185.18,,,,13427,
306.20,33.200,-0.29600,1.7780,185.18,,,,13431,
306.21,33.210,-0.29610,1.7780,185.18,,,,13433,
306.23,33.230,-0.29610,1.7780,185.18,,,,13437,
306.25,33.250,-0.29610,1.7780,185.18,,,,13440,
306.26,33.260,-0.29620,1.7790,185.28,,,,13442,
306.28,33.280,-0.29620,1.7790,185.28,,,,13446,
306.30,33.300,-0.29630,1.7790,185.28,,,,13450,
306.31,33.310,-0.29630,1.7790,185.28,,,,13452,
306.33,33.330,-0.29630,1.7790,185.28,,,,13455,
306.35,33.350,-0.29630,1.7800,185.38,,,,13459,
306.36,33.360,-0.29640,1.7800,185.38,,,,13461,
306.38,33.380,-0.29640,1.7800,185.38,,,,13465,
306.40,33.400,-0.29640,1.7800,185.38,,,,13468,
306.41,33.410,-0.29640,1.7800,185.38,,,,13470,
306.43,33.430,-0.29650,1.7800,185.38,,,,13474,
306.45,33.450,-0.29650,1.7810,185.49,,,,13477,
306.46,33.460,-0.29650,1.7810,185.49,,,,13479,
306.48,33.480,-0.29650,1.7810,185.49,,,,13483,
306.50,33.500,-0.29660,1.7820,185.59,,,,13487,
306.51,33.510,-0.29660,1.7820,185.59,,,,13489,
306.53,33.530,-0.29660,1.7820,185.59,,,,13492,
306.55,33.550,-0.29660,1.7830,185.70,,,,13496,
306.56,33.560,-0.29670,1.7830,185.70,,,,13498,
306.58,33.580,-0.29670,1.7830,185.70,,,,13502,
306.60,33.600,-0.29670,1.7830,185.70,,,,13505,
306.61,33.610,-0.29680,1.7830,185.70,,,,13507,
306.63,33.630,-0.29680,1.7830,185.70,,,,13511,
306.65,33.650,-0.29680,1.7830,185.70,,,,13515,
306.66,33.660,-0.29680,1.7840,185.80,,,,13516,
306.68,33.680,-0.29690,1.7840,185.80,,,,13520,
306.70,33.700,-0.29690,1.7840,185.80,,,,13524,
306.71,33.710,-0.29690,1.7840,185.80,,,,13526,
306.73,33.730,-0.29690,1.7840,185.80,,,,13529,
306.75,33.750,-0.29700,1.7850,185.90,,,,13533,
306.76,33.760,-0.29700,1.7850,185.90,,,,13535,
306.78,33.780,-0.29700,1.7850,185.90,,,,13539,
306.80,33.800,-0.29700,1.7850,185.90,,,,13542,
306.81,33.810,-0.29710,1.7850,185.90,,,,13544,
306.83,33.830,-0.29710,1.7860,186.01,,,,13548,
306.85,33.850,-0.29720,1.7860,186.01,,,,13552,
306.86,33.860,-0.29720,1.7860,186.01,,,,13554,
306.88,33.880,-0.29720,1.7860,186.01,,,,13557,
306.90,33.900,-0.29720,1.7860,186.01,,,,13561,
306.91,33.910,-0.29730,1.7870,186.11,,,,13563,
306.93,33.930,-0.29730,1.7870,186.11,,,,13567,
306.95,33.950,-0.29730,1.7870,186.11,,,,13570,
306.96,33.960,-0.29730,1.7870,186.11,,,,13572,
306.98,33.980,-0.29730,1.7870,186.11,,,,13576,
307.00,34.000,-0.29740,1.7870,186.11,,,,13580,
307.01,34.010,-0.29740,1.7870,186.11,,,,13582,
307.03,34.030,-0.29740,1.7880,186.22,,,,13585,
307.05,34.050,-0.29740,1.7880,186.22,,,,13589,
307.06,34.060,-0.29740,1.7880,186.22,,,,13591,
307.08,34.080,-0.29740,1.7880,186.22,,,,13595,
307.10,34.100,-0.29750,1.7880,186.22,,,,13598,
307.11,34.110,-0.29750,1.7880,186.22,,,,13600,
307.13,34.130,-0.29750,1.7880,186.22,,,,13604,
307.15,34.150,-0.29750,1.7880,186.22,,,,13608,
307.16,34.160,-0.29760,1.7890,186.32,,,,13609,
307.18,34.180,-0.29760,1.7890,186.32,,,,13613,
307.20,34.200,-0.29760,1.7890,186.32,,,,13617,
307.21,34.210,-0.29760,1.7890,186.32,,,,13619,
307.23,34.230,-0.29770,1.7890,186.32,,,,13623,
307.25,34.250,-0.29770,1.7900,186.42,,,,13626,
307.26,34.260,-0.29770,1.7900,186.42,,,,13628,
307.28,34.280,-0.29770,1.7900,186.42,,,,13632,
307.30,34.300,-0.29780,1.7900,186.42,,,,13636,
307.31,34.310,-0.29780,1.7900,186.42,,,,13637,
307.33,34.330,-0.29780,1.7900,186.42,,,,13641,
307.35,34.350,-0.29780,1.7910,186.53,,,,13645,
307.36,34.360,-0.29780,1.7910,186.53,,,,13647,
307.38,34.380,-0.29780,1.7910,186.53,,,,13651,
307.40,34.400,-0.29790,1.7910,186.53,,,,13654,
307.41,34.410,-0.29790,1.7910,186.53,,,,13656,
307.43,34.430,-0.29790,1.7910,186.53,,,,13660,
307.45,34.450,-0.29790,1.7910,186.53,,,,13664,
307.46,34.460,-0.29790,1.7910,186.53,,,,13665,
307.48,34.480,-0.29790,1.7910,186.53,,,,13669,
307.49,34.490,-0.29800,1.7910,186.53,,,,13671,
307.51,34.510,-0.29800,1.7920,186.63,197.46,,,13675,
307.53,34.530,-0.29800,1.7920,186.63,,,,13678,
307.54,34.540,-0.29800,1.7920,186.63,,,,13680,
307.56,34.560,-0.29800,1.7920,186.63,,,,13684,
307.58,34.580,-0.29810,1.7920,186.63,,,,13688,
307.60,34.600,-0.29810,1.7920,186.63,,,,13692,
307.61,34.610,-0.29810,1.7930,186.74,,,,13693,
307.63,34.630,-0.29810,1.7930,186.74,,,,13697,
307.65,34.650,-0.29820,1.7930,186.74,,,,13701,
307.66,34.660,-0.29820,1.7930,186.74,,,,13703,
307.68,34.680,-0.29820,1.7930,186.74,,,,13706,
307.69,34.690,-0.29820,1.7930,186.74,,,,13708,
307.71,34.710,-0.29820,1.7940,186.84,,,,13712,
307.73,34.730,-0.29820,1.7940,186.84,,,,13716,
307.74,34.740,-0.29830,1.7940,186.84,,,,13718,
307.76,34.760,-0.29830,1.7940,186.84,,,,13721,
307.78,34.780,-0.29830,1.7940,186.84,,,,13725,
307.79,34.790,-0.29830,1.7950,186.95,,,,13727,
307.81,34.810,-0.29830,1.7950,186.95,,,,13731,
307.83,34.830,-0.29840,1.7950,186.95,,,,13735,
307.84,34.840,-0.29840,1.7950,186.95,,,,13736,
307.86,34.860,-0.29840,1.7950,186.95,,,,13740,
307.88,34.880,-0.29840,1.7950,186.95,,,,13744,
307.89,34.890,-0.29850,1.7960,187.05,,,,13746,
307.91,34.910,-0.29850,1.7960,187.05,,,,13749,
307.93,34.930,-0.29850,1.7960,187.05,,,,13753,
307.94,34.940,-0.29850,1.7960,187.05,,,,13755,
307.96,34.960,-0.29860,1.7960,187.05,,,,13759,
307.98,34.980,-0.29860,1.7970,187.15,,,,13763,
307.99,34.990,-0.29860,1.7970,187.15,,,,13764,
308.01,35.010,-0.29860,1.7970,187.15,,,,13768,
308.03,35.030,-0.29860,1.7970,187.15,,,,13772,
308.04,35.040,-0.29870,1.7970,187.15,,,,13774,
308.06,35.060,-0.29870,1.7970,187.15,,,,13778,
308.08,35.080,-0.29870,1.7970,187.15,,,,13781,
308.09,35.090,-0.29870,1.7980,187.26,,,,13783,
308.11,35.110,-0.29870,1.7980,187.26,,,,13787,
308.13,35.130,-0.29870,1.7980,187.26,,,,13791,
308.14,35.140,-0.29880,1.7980,187.26,,,,13793,
308.16,35.160,-0.29880,1.7980,187.26,,,,13796,
308.18,35.180,-0.29880,1.7980,187.26,,,,13800,
308.19,35.190,-0.29880,1.7980,187.26,,,,13802,
308.21,35.210,-0.29890,1.7990,187.36,,,,13806,
308.23,35.230,-0.29890,1.7990,187.36,,,,13809,
308.24,35.240,-0.29890,1.7990,187.36,,,,13811,
308.26,35.260,-0.29890,1.7990,187.36,,,,13815,
308.28,35.280,-0.29900,1.7990,187.36,,,,13819,
308.29,35.290,-0.29900,1.8000,187.47,,,,13821,
308.31,35.310,-0.29900,1.8000,187.47,,,,13824,
308.33,35.330,-0.29900,1.8000,187.47,,,,13828,
308.34,35.340,-0.29900,1.8000,187.47,,,,13830,
308.36,35.360,-0.29910,1.8000,187.47,,,,13834,
308.38,35.380,-0.29910,1.8000,187.47,,,,13837,
308.39,35.390,-0.29910,1.8000,187.47,,,,13839,
308.41,35.410,-0.29910,1.8000,187.47,,,,13843,
308.43,35.430,-0.29910,1.8000,187.47,,,,13847,
308.44,35.440,-0.29920,1.8000,187.47,,,,13849,
308.46,35.460,-0.29920,1.8000,187.47,,,,13852,
308.47,35.470,-0.29920,1.8000,187.47,,,,13854,
308.49,35.490,-0.29920,1.8000,187.47,,,,13858,
308.51,35.510,-0.29930,1.8010,187.57,,,,13862,
308.52,35.520,-0.29930,1.8010,187.57,,,,13864,
308.54,35.540,-0.29930,1.8010,187.57,,,,13867,
308.56,35.560,-0.29930,1.8010,187.57,,,,13871,
308.58,35.580,-0.29940,1.8010,187.57,,,,13875,
308.59,35.590,-0.29940,1.8010,187.57,,,,13877,
308.61,35.610,-0.29940,1.8010,187.57,,,,13881,
308.63,35.630,-0.29940,1.8010,187.57,,,,13884,
308.64,35.640,-0.29940,1.8020,187.67,,,,13886,
308.66,35.660,-0.29950,1.8020,187.67,,,,13890,
308.68,35.680,-0.29950,1.8020,187.67,,,,13894,
308.69,35.690,-0.29950,1.8020,187.67,,,,13896,
308.71,35.710,-0.29960,1.8020,187.67,,,,13899,
308.72,35.720,-0.29960,1.8030,187.78,,,,13901,
308.74,35.740,-0.29960,1.8030,187.78,,,,13905,
308.76,35.760,-0.29960,1.8030,187.78,,,,13909,
308.78,35.780,-0.29970,1.8030,187.78,,,,13913,
308.79,35.790,-0.29970,1.8030,187.78,,,,13914,
308.81,35.810,-0.29970,1.8030,187.78,,,,13918,
308.82,35.820,-0.29970,1.8030,187.78,,,,13920,
308.84,35.840,-0.29980,1.8030,187.78,,,,13924,
308.86,35.860,-0.29980,1.8030,187.78,,,,13928,
308.87,35.870,-0.29980,1.8040,187.88,,,,13929,
308.89,35.890,-0.29980,1.8040,187.88,,,,13933,
308.91,35.910,-0.29990,1.8050,187.99,,,,13937,
308.92,35.920,-0.29990,1.8050,187.99,,,,13939,
308.94,35.940,-0.29990,1.8050,187.99,,,,13943,
308.96,35.960,-0.30000,1.8050,187.99,,,,13946,
308.97,35.970,-0.30000,1.8060,188.09,,,,13948,
308.99,35.990,-0.30000,1.8060,188.09,,,,13952,
309.01,36.010,-0.30010,1.8060,188.09,,,,13956,
309.02,36.020,-0.30010,1.8060,188.09,,,,13958,
309.04,36.040,-0.30010,1.8060,188.09,,,,13961,
309.06,36.060,-0.30020,1.8060,188.09,,,,13965,
309.07,36.070,-0.30020,1.8060,188.09,,,,13967,
309.09,36.090,-0.30020,1.8070,188.20,,,,13971,
309.11,36.110,-0.30030,1.8070,188.20,,,,13975,
309.12,36.120,-0.30030,1.8070,188.20,,,,13976,
309.14,36.140,-0.30030,1.8080,188.30,,,,13980,
309.16,36.160,-0.30030,1.8080,188.30,,,,13984,
309.17,36.170,-0.30040,1.8080,188.30,,,,13986,
309.19,36.190,-0.30040,1.8080,188.30,,,,13990,
309.21,36.210,-0.30040,1.8080,188.30,,,,13993,
309.22,36.220,-0.30050,1.8080,188.30,,,,13995,
309.24,36.240,-0.30050,1.8090,188.40,,,,13999,
309.26,36.260,-0.30050,1.8090,188.40,,,,14003,
309.27,36.270,-0.30050,1.8090,188.40,,,,14005,
309.29,36.290,-0.30060,1.8090,188.40,,,,14008,
309.31,36.310,-0.30060,1.8090,188.40,,,,14012,
309.32,36.320,-0.30060,1.8090,188.40,,,,14014,
309.34,36.340,-0.30070,1.8100,188.51,,,,14018,
309.36,36.360,-0.30070,1.8100,188.51,,,,14022,
309.37,36.370,-0.30080,1.8100,188.51,,,,14024,
309.39,36.390,-0.30080,1.8110,188.61,,,,14027,
309.41,36.410,-0.30090,1.8110,188.61,,,,14031,
309.42,36.420,-0.30090,1.8110,188.61,,,,14033,
309.44,36.440,-0.30090,1.8110,188.61,,,,14037,
309.46,36.460,-0.30100,1.8110,188.61,,,,14041,
309.47,36.470,-0.30100,1.8110,188.61,,,,14042,
309.49,36.490,-0.30110,1.8120,188.72,,,,14046,
309.51,36.510,-0.30110,1.8120,188.72,,,,14050,
309.52,36.520,-0.30110,1.8120,188.72,,,,14052,
309.54,36.540,-0.30120,1.8130,188.82,,,,14056,
309.56,36.560,-0.30120,1.8130,188.82,,,,14059,
309.57,36.570,-0.30120,1.8130,188.82,,,,14061,
309.59,36.590,-0.30130,1.8130,188.82,,,,14065,
309.61,36.610,-0.30130,1.8130,188.82,,,,14069,
309.62,36.620,-0.30130,1.8130,188.82,,,,14071,
309.64,36.640,-0.30140,1.8140,188.92,,,,14074,
309.66,36.660,-0.30140,1.8140,188.92,,,,14078,
309.67,36.670,-0.30150,1.8140,188.92,,,,14080,
309.69,36.690,-0.30150,1.8140,188.92,,,,14084,
309.71,36.710,-0.30150,1.8140,188.92,,,,14088,
309.72,36.720,-0.30160,1.8150,189.03,,,,14090,
309.74,36.740,-0.30160,1.8150,189.03,,,,14093,
309.76,36.760,-0.30170,1.8150,189.03,,,,14097,
309.77,36.770,-0.30170,1.8150,189.03,,,,14099,
309.79,36.790,-0.30170,1.8150,189.03,,,,14103,
309.80,36.800,-0.30170,1.8160,189.13,,,,14105,
309.82,36.820,-0.30180,1.8160,189.13,,,,14109,
309.84,36.840,-0.30180,1.8170,189.24,,,,14112,
309.86,36.860,-0.30190,1.8170,189.24,,,,14116,
309.87,36.870,-0.30190,1.8170,189.24,,,,14118,
309.89,36.890,-0.30200,1.8170,189.24,,,,14122,
309.90,36.900,-0.30200,1.8180,189.34,,,,14124,
309.92,36.920,-0.30200,1.8180,189.34,,,,14127,
309.94,36.940,-0.30200,1.8180,189.34,,,,14131,
309.95,36.950,-0.30210,1.8180,189.34,,,,14133,
309.97,36.970,-0.30210,1.8180,189.34,,,,14137,
309.99,36.990,-0.30210,1.8180,189.34,,,,14141,
310.00,37.000,-0.30220,1.8180,189.34,200.46,,,14143,
310.02,37.020,-0.30220,1.8180,189.34,,,,14146,
310.04,37.040,-0.30220,1.8190,189.45,,,,14150,
310.05,37.050,-0.30230,1.8190,189.45,,,,14152,
310.07,37.070,-0.30230,1.8190,189.45,,,,14156,
310.09,37.090,-0.30240,1.8200,189.55,,,,14160,
310.10,37.100,-0.30240,1.8200,189.55,,,,14162,
310.12,37.120,-0.30240,1.8200,189.55,,,,14165,
310.14,37.140,-0.30240,1.8200,189.55,,,,14169,
310.15,37.150,-0.30250,1.8210,189.65,,,,14171,
310.17,37.170,-0.30250,1.8210,189.65,,,,14175,
310.19,37.190,-0.30250,1.8210,189.65,,,,14179,
310.20,37.200,-0.30260,1.8210,189.65,,,,14180,
310.22,37.220,-0.30260,1.8220,189.76,,,,14184,
310.24,37.240,-0.30270,1.8220,189.76,,,,14188,
310.25,37.250,-0.30270,1.8230,189.86,,,,14190,
310.27,37.270,-0.30280,1.8230,189.86,,,,14194,
310.29,37.290,-0.30280,1.8230,189.86,,,,14198,
310.30,37.300,-0.30280,1.8240,189.97,,,,14199,
310.32,37.320,-0.30290,1.8240,189.97,,,,14203,
310.34,37.340,-0.30290,1.8250,190.07,,,,14207,
310.35,37.350,-0.30300,1.8250,190.07,,,,14209,
310.37,37.370,-0.30300,1.8250,190.07,,,,14213,
310.39,37.390,-0.30300,1.8260,190.17,,,,14217,
310.40,37.400,-0.30310,1.8260,190.17,,,,14218,
310.42,37.420,-0.30310,1.8270,190.28,,,,14222,
310.44,37.440,-0.30320,1.8270,190.28,,,,14226,
310.45,37.450,-0.30320,1.8280,190.38,,,,14228,
310.47,37.470,-0.30330,1.8280,190.38,,,,14232,
310.49,37.490,-0.30340,1.8290,190.49,,,,14236,
310.50,37.500,-0.30340,1.8300,190.59,,,,14238,
310.52,37.520,-0.30350,1.8300,190.59,,,,14241,
310.54,37.540,-0.30350,1.8310,190.69,,,,14245,
310.55,37.550,-0.30360,1.8320,190.80,,,,14247,
310.57,37.570,-0.30360,1.8320,190.80,,,,14251,
310.59,37.590,-0.30360,1.8330,190.90,,,,14255,
310.60,37.600,-0.30370,1.8330,190.90,,,,14257,
310.62,37.620,-0.30370,1.8340,191.01,,,,14260,
310.64,37.640,-0.30380,1.8340,191.01,,,,14264,
310.65,37.650,-0.30380,1.8350,191.11,,,,14266,
310.67,37.670,-0.30390,1.8360,191.22,,,,14270,
310.69,37.690,-0.30390,1.8360,191.22,,,,14274,
310.70,37.700,-0.30390,1.8370,191.32,,,,14276,
310.72,37.720,-0.30400,1.8370,191.32,,,,14280,
310.74,37.740,-0.30400,1.8380,191.42,,,,14283,
310.75,37.750,-0.30410,1.8380,191.42,,,,14285,
310.77,37.770,-0.30410,1.8390,191.53,,,,14289,
310.79,37.790,-0.30420,1.8400,191.63,,,,14293,
310.80,37.800,-0.30420,1.8400,191.63,,,,14295,
310.82,37.820,-0.30420,1.8410,191.74,,,,14299,
310.83,37.830,-0.30430,1.8420,191.84,,,,14301,
310.85,37.850,-0.30430,1.8420,191.84,,,,14304,
310.87,37.870,-0.30440,1.8430,191.94,,,,14308,
310.88,37.880,-0.30450,1.8440,192.05,,,,14310,
310.90,37.900,-0.30450,1.8450,192.15,,,,14314,
310.92,37.920,-0.30460,1.8450,192.15,,,,14318,
310.93,37.930,-0.30470,1.8460,192.26,,,,14320,
310.95,37.950,-0.30480,1.8480,192.47,,,,14324,
310.97,37.970,-0.30500,1.8490,192.57,,,,14327,
310.98,37.980,-0.30510,1.8500,192.67,,,,14329,
311.00,38.000,-0.30520,1.8510,192.78,,,,14333,
311.02,38.020,-0.30530,1.8520,192.88,,,,14337,
311.03,38.030,-0.30540,1.8540,193.09,,,,14339,
311.05,38.050,-0.30560,1.8550,193.19,,,,14343,
311.07,38.070,-0.30570,1.8570,193.40,,,,14347,
311.08,38.080,-0.30590,1.8580,193.51,,,,14349,
311.10,38.100,-0.30610,1.8600,193.72,,,,14353,
311.12,38.120,-0.30630,1.8620,193.92,,,,14356,
311.13,38.130,-0.30660,1.8640,194.13,,,,14358,
311.15,38.150,-0.30680,1.8660,194.34,,,,14362,
311.17,38.170,-0.30710,1.8680,194.55,,,,14366,
311.18,38.180,-0.30740,1.8700,194.76,,,,14368,
311.20,38.200,-0.30770,1.8730,195.07,,,,14372,
311.22,38.220,-0.30810,1.8760,195.38,,,,14376,
311.23,38.230,-0.30850,1.8790,195.69,,,,14378,
311.25,38.250,-0.30890,1.8820,196.01,,,,14382,
311.27,38.270,-0.30940,1.8860,196.42,,,,14386,
311.28,38.280,-0.30990,1.8890,196.74,,,,14388,
311.30,38.300,-0.31040,1.8930,197.15,,,,14392,
311.32,38.320,-0.31090,1.8970,197.57,,,,14396,
311.33,38.330,-0.31150,1.9020,198.09,,,,14398,
311.35,38.350,-0.31220,1.9060,198.51,,,,14402,
311.37,38.370,-0.31290,1.9110,199.03,,,,14406,
311.38,38.380,-0.31370,1.9170,199.65,,,,14407,
311.40,38.400,-0.31450,1.9220,200.17,,,,14411,
311.42,38.420,-0.31540,1.9280,200.80,,,,14416,
311.43,38.430,-0.31620,1.9340,201.42,,,,14418,
311.45,38.450,-0.31700,1.9400,202.05,,,,14422,
311.46,38.460,-0.31780,1.9460,202.67,,,,14424,
311.48,38.480,-0.31870,1.9520,203.30,,,,14428,
311.50,38.500,-0.31950,1.9580,203.92,,,,14432,
311.51,38.510,-0.32030,1.9640,204.55,,,,14434,
311.53,38.530,-0.32120,1.9700,205.17,,,,14438,
311.55,38.550,-0.32210,1.9760,205.80,,,,14442,
311.56,38.560,-0.32290,1.9820,206.42,,,,14444,
311.58,38.580,-0.32380,1.9880,207.05,,,,14448,
311.59,38.590,-0.32470,1.9940,207.67,,,,14450,
311.61,38.610,-0.32550,2.0000,208.30,,,,14454,
311.63,38.630,-0.32640,2.0060,208.92,,,,14459,
311.64,38.640,-0.32720,2.0120,209.55,,,,14461,
311.66,38.660,-0.32790,2.0170,210.07,,,,14465,
311.67,38.670,-0.32870,2.0230,210.69,,,,14467,
311.69,38.690,-0.32950,2.0290,211.32,,,,14471,
311.71,38.710,-0.33040,2.0360,212.05,,,,14475,
311.72,38.720,-0.33120,2.0420,212.67,,,,14478,
311.74,38.740,-0.33200,2.0480,213.30,,,,14482,
311.76,38.760,-0.33280,2.0540,213.92,,,,14486,
311.77,38.770,-0.33350,2.0590,214.44,,,,14488,
311.79,38.790,-0.33430,2.0650,215.07,,,,14492,
311.81,38.810,-0.33500,2.0700,215.59,,,,14497,
311.82,38.820,-0.33580,2.0760,216.21,,,,14499,
311.84,38.840,-0.33650,2.0810,216.73,,,,14503,
311.85,38.850,-0.33730,2.0870,217.36,,,,14505,
311.87,38.870,-0.33800,2.0930,217.98,,,,14510,
311.89,38.890,-0.33880,2.0990,218.61,,,,14514,
311.90,38.900,-0.33960,2.1050,219.23,,,,14516,
311.92,38.920,-0.34040,2.1110,219.86,,,,14521,
311.94,38.940,-0.34120,2.1170,220.48,,,,14525,
311.95,38.950,-0.34180,2.1230,221.11,,,,14527,
311.97,38.970,-0.34260,2.1290,221.73,,,,14532,
311.98,38.980,-0.34340,2.1360,222.46,,,,14534,
312.00,39.000,-0.34410,2.1420,223.09,,,,14538,
312.02,39.020,-0.34490,2.1480,223.71,,,,14543,
312.03,39.030,-0.34570,2.1540,224.33,,,,14545,
312.05,39.050,-0.34650,2.1610,225.06,,,,14550,
312.06,39.060,-0.34740,2.1670,225.69,,,,14552,
312.08,39.080,-0.34820,2.1740,226.42,,,,14556,
312.10,39.100,-0.34900,2.1800,227.04,,,,14561,
312.11,39.110,-0.34980,2.1870,227.77,,,,14563,
312.13,39.130,-0.35050,2.1930,228.40,,,,14568,
312.14,39.140,-0.35140,2.2000,229.13,,,,14570,
312.16,39.160,-0.35220,2.2060,229.75,,,,14575,
312.18,39.180,-0.35300,2.2130,230.48,,,,14579,
312.19,39.190,-0.35390,2.2200,231.21,,,,14582,
312.21,39.210,-0.35450,2.2260,231.83,,,,14586,
312.22,39.220,-0.35520,2.2330,232.56,,,,14589,
312.24,39.240,-0.35600,2.2400,233.29,,,,14593,
312.26,39.260,-0.35690,2.2470,234.02,,,,14598,
312.27,39.270,-0.35790,2.2550,234.85,,,,14600,
312.29,39.290,-0.35870,2.2630,235.69,,,,14605,
312.30,39.300,-0.35970,2.2710,236.52,,,,14607,
312.32,39.320,-0.36060,2.2800,237.46,,,,14612,
312.34,39.340,-0.36160,2.2880,238.29,,,,14617,
312.35,39.350,-0.36250,2.2970,239.23,,,,14619,
312.37,39.370,-0.36340,2.3060,240.17,,,,14624,
312.38,39.380,-0.36410,2.3140,241.00,,,,14626,
312.40,39.400,-0.36510,2.3240,242.04,,,,14631,
312.41,39.410,-0.36600,2.3330,242.98,,,,14634,
312.43,39.430,-0.36690,2.3430,244.02,,,,14639,
312.45,39.450,-0.36790,2.3530,245.06,,,,14643,
312.46,39.460,-0.36900,2.3650,246.31,,,,14646,
312.48,39.480,-0.36990,2.3750,247.35,,,,14651,
312.49,39.490,-0.37090,2.3870,248.60,,,,14653,
312.51,39.510,-0.37210,2.3990,249.85,202.21,,,14658,
312.53,39.530,-0.37320,2.4120,251.20,,,,14663,
